15-Dec-20 08:37:24 - The final loss of model: ContinuousOutcome, is: 3.68
15-Dec-20 08:40:15 - The final loss of model: ContinuousOutcome, is: 3.69
15-Dec-20 11:08:30 - The final loss of model: ContinuousOutcome, is: 3.69
15-Dec-20 13:38:01 - The final loss of model: ContinuousOutcome, is: 3.83
15-Dec-20 13:39:13 - The final loss of model: ContinuousOutcome, is: 3.96
15-Dec-20 14:16:04 - The final loss of model: ContinuousOutcome, is: 3.83
15-Dec-20 14:18:40 - The final loss of model: ContinuousOutcome, is: 4.11
15-Dec-20 14:21:40 - The final loss of model: ContinuousOutcome, is: 3.96
15-Dec-20 14:22:18 - The final loss of model: ContinuousOutcome, is: 3.68
15-Dec-20 14:22:51 - The final loss of model: ContinuousOutcome, is: 3.96
15-Dec-20 14:24:28 - The final loss of model: ContinuousOutcome, is: 3.96
15-Dec-20 14:28:38 - The final loss of model: ContinuousOutcome, is: 3.82
15-Dec-20 14:29:08 - The final loss of model: ContinuousOutcome, is: 3.83
15-Dec-20 14:29:34 - The final loss of model: ContinuousOutcome, is: 3.82
15-Dec-20 15:30:01 - The final loss of model: ContinuousOutcome, is: 3.82
16-Dec-20 14:47:50 - The final loss of model: ContinuousOutcome, is: 3.82
16-Dec-20 14:48:21 - The final loss of model: Binary, is: 1.58
18-Dec-20 10:36:33 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
18-Dec-20 10:36:49 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.79
18-Dec-20 11:04:58 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.33
18-Dec-20 11:05:14 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.51
18-Dec-20 11:06:36 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.31
18-Dec-20 11:06:52 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.51
18-Dec-20 11:08:21 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.29
18-Dec-20 11:08:37 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.51
18-Dec-20 11:10:03 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
18-Dec-20 11:10:19 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.52
18-Dec-20 11:11:16 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.34
18-Dec-20 11:11:32 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.52
18-Dec-20 11:21:07 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
18-Dec-20 11:21:32 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.78
18-Dec-20 11:27:03 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.31
18-Dec-20 11:27:21 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.56
18-Dec-20 11:33:24 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.29
18-Dec-20 11:33:36 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.57
18-Dec-20 11:37:36 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
18-Dec-20 11:37:55 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.52
19-Dec-20 09:19:29 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.78
19-Dec-20 09:20:20 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
19-Dec-20 09:21:08 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.32
19-Dec-20 09:22:15 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.29
19-Dec-20 09:22:55 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.57
19-Dec-20 09:23:53 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.46
19-Dec-20 09:24:35 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.47
19-Dec-20 09:45:50 - The final loss of model: ContinuousConfounderAndOutcome, is: 5.47
